NAME                                    READY   STATUS    RESTARTS   AGE     IP            NODE                   NOMINATED NODE   READINESS GATES
backend-678dff47d5-vvlqx                1/1     Running   0          5h25m   10.244.0.26   parity-control-plane   <none>           <none>
chi-clickhouse-cluster-default-0-0-0    1/1     Running   0          5h27m   10.244.0.17   parity-control-plane   <none>           <none>
chi-clickhouse-cluster-default-0-1-0    1/1     Running   0          5h26m   10.244.0.21   parity-control-plane   <none>           <none>
chk-clickhouse-cluster-cluster1-0-0-0   1/1     Running   0          5h27m   10.244.0.13   parity-control-plane   <none>           <none>
chk-clickhouse-cluster-cluster1-0-1-0   1/1     Running   0          5h27m   10.244.0.16   parity-control-plane   <none>           <none>
chk-clickhouse-cluster-cluster1-0-2-0   1/1     Running   0          5h27m   10.244.0.19   parity-control-plane   <none>           <none>
clickhouse-operator-549995fd46-9lpds    2/2     Running   0          5h28m   10.244.0.9    parity-control-plane   <none>           <none>
frontend-6594b5b764-92zj8               1/1     Running   0          5h25m   10.244.0.27   parity-control-plane   <none>           <none>
grafana-5c64d6fb97-k8xz2                1/1     Running   0          5h25m   10.244.0.23   parity-control-plane   <none>           <none>
js-service-6cb895c754-c45c7             1/1     Running   0          5m3s    10.244.0.30   parity-control-plane   <none>           <none>
nats-0                                  3/3     Running   0          5h28m   10.244.0.8    parity-control-plane   <none>           <none>
nats-box-7db7ffb587-kt25p               1/1     Running   0          5h28m   10.244.0.5    parity-control-plane   <none>           <none>
relay-proxy-66d65d5477-7wngf            1/1     Running   0          5h25m   10.244.0.24   parity-control-plane   <none>           <none>
rotel-5d94bfc44c-nlc8c                  1/1     Running   0          5h28m   10.244.0.10   parity-control-plane   <none>           <none>
victoria-metrics-0                      1/1     Running   0          5h25m   10.244.0.29   parity-control-plane   <none>           <none>
